PSR_ID,lat,lon,area_km2,n_overview_px,mean_slope_deg,mean_roughness_rms_m,mean_illumination_fraction,mean_hazard_score
SP_833350_3004430,-83.335,300.443,9.626,60,9.399706853360465,95.76361126649991,0.0,0.5086923882882264
SP_814210_0535940,-81.421,53.594,9.403,54,9.594689207968429,93.76031847082683,0.0,0.5088237580031705
SP_833590_2639010,-83.359,263.901,8.111,51,9.560437510003208,95.58622507074156,0.0,0.5101017527210584
SP_828030_1905080,-82.803,190.508,6.959,43,9.568984960234092,95.70236428500903,0.0,0.5102875415106567
SP_830760_0866010,-83.076,86.604,29.081,174,9.357973726223625,99.05587306378885,0.0,0.5111918208207007
SP_852110_2384420,-85.211,238.442,11.023,67,9.490483864704405,98.67696205449793,0.0,0.5121483605268382
SP_873660_3292250,-87.366,329.225,33.728,205,9.749052098110846,96.3398719995607,0.0,0.5126045871474915
SP_833370_2762390,-83.337,276.239,5.022,31,9.763620796741304,97.15835261054146,0.0,0.5134689835030036
SP_836140_3528490,-83.613,352.852,15.3,91,9.740141010041068,98.18533677130621,0.0,0.5141467298534861
SP_834150_2749360,-83.412,274.909,39.431,244,9.809391036075143,98.07388560725146,0.0,0.5147230315760186
SP_835340_3009100,-83.534,300.91,5.897,36,9.877076080982967,97.39607311324067,0.0,0.5147841687992372
SP_844580_3134320,-84.458,313.432,315.029,1917,9.810817339253243,99.21276252898951,0.0,0.5157421947069978
SP_859960_3189560,-85.996,318.956,5.566,34,10.152208406446473,96.24188626976614,0.0,0.5164459017623769
SP_868670_2973140,-86.867,297.314,14.249,90,9.87951514626636,99.27511625913115,0.0,0.5164665309682064
SP_830450_2084240,-83.045,208.424,6.772,41,9.939572232185556,100.30625895368287,0.0,0.5179618172821283
SP_842450_2744930,-84.245,274.493,7.898,47,9.916346502662472,100.6012964604534,0.0,0.5179959620270623
SP_853570_0498630,-85.357,49.866,139.594,847,10.000038048668161,101.35835337952594,0.0,0.5194795794437729
SP_837240_0195180,-83.724,19.518,17.662,106,9.842721030668779,103.12758333851806,0.0,0.5195085661101658
SP_871460_0840750,-87.146,84.075,663.959,4039,9.936049614996229,102.490901757465,0.0,0.5198558445430184
SP_843700_3057300,-84.37,305.734,11.599,71,10.159377478106826,103.07742123590018,0.0,0.522549357211329
SP_846780_3207920,-84.678,320.792,5.512,33,10.39181007271175,100.84281886343824,0.0,0.5228414179551499
SP_836180_2779590,-83.618,277.959,7.448,42,10.279144877083823,102.33722695424851,0.0,0.523062850486814
SP_829960_3218060,-82.996,321.806,5.234,33,9.972707445153308,106.16396496725223,0.0,0.5234551384886519
SP_827550_0675820,-82.755,67.582,9.335,54,10.137127534048485,104.40523084631883,0.0,0.5235046189493217
SP_845880_0533560,-84.588,53.356,8.431,51,10.215045005665614,103.64959632068711,0.0,0.5235967547995495
SP_837400_1630860,-83.739,163.086,194.861,1183,10.201975615882267,103.97620158804347,0.0,0.5237577133824254
SP_832950_1495450,-83.295,149.545,114.754,693,10.24443787721053,103.78260156524993,0.0,0.5240005202863287
SP_816240_3094250,-81.624,309.421,10.415,64,9.99218301064223,106.56991792094584,0.0,0.524003209552111
SP_813790_1708250,-81.379,170.825,8.222,49,10.22672524636119,104.34764788180081,0.0,0.5243267092999244
SP_847970_3070080,-84.797,307.005,22.835,146,10.36618782787519,103.61769327370152,0.0,0.5250411239437449
SP_827640_0162250,-82.764,16.225,6.26,40,10.371638811081777,104.83198920167145,0.0,0.5261660691318634
SP_845640_2574190,-84.565,257.425,13.176,79,10.407341040478357,104.52501250831025,0.0,0.5262429398611315
SP_841820_2710340,-84.182,271.034,62.251,380,10.467813104592022,104.12757269570531,0.0,0.5264812838122296
SP_836610_3027240,-83.661,302.724,5.137,26,10.906647432644885,100.73491610550053,0.0,0.5277620467516128
SP_830550_0674490,-83.055,67.443,130.658,793,10.380797309874618,106.56243555310493,0.0,0.5277827324431483
SP_892150_0734730,-89.215,73.473,6.71,42,10.765626610693747,102.36391947266468,0.0,0.5278260257012485
SP_856470_2627260,-85.647,262.726,6.689,39,10.556584703436771,104.68016768351906,0.0,0.5278339192822978
SP_822920_2211100,-82.291,221.109,16.646,102,10.520162867087874,105.263895482179,0.0,0.5279943211518238
SP_848000_0437590,-84.8,43.759,6.912,43,10.779822996547816,102.93386866927474,0.0,0.528467420320609
SP_854150_3078410,-85.415,307.84,127.418,780,10.479926994880978,107.33948053951966,0.0,0.5294344011453715
SP_889730_0648850,-88.973,64.885,5.814,37,11.36730476825795,97.74420309482468,0.0,0.5296102120208047
SP_832600_0820620,-83.259,82.073,139.115,848,10.525532731798192,107.60574006984272,0.0,0.5301137439479305
SP_841060_3423520,-84.106,342.352,19.192,113,10.600753287056232,107.20606988118888,0.0,0.5304938083569372
SP_847630_0851660,-84.763,85.166,5.108,29,10.531980378813254,107.98980251753204,0.0,0.5305155663757636
SP_820880_1687420,-82.088,168.742,47.45,290,10.573055555504801,108.13982016915206,0.0,0.5310481648635575
SP_819220_1874810,-81.922,187.481,6.477,42,10.725672701662932,107.0020049728569,0.0,0.5315307280702348
SP_802040_3230700,-80.204,323.07,5.386,31,10.653750359747653,109.83267094250871,0.0,0.5333285953467586
SP_841180_2482770,-84.118,248.277,6.106,38,11.12990874437769,105.54319286447443,0.0,0.534181383975232
SP_824820_3550120,-82.482,355.004,124.33,757,10.76033774014566,109.99044176352199,0.0,0.5345062989429817
SP_819690_0250940,-81.969,25.095,95.332,583,10.80789079211876,110.1104562801474,0.0,0.5350755257540768
SP_818190_0694460,-81.819,69.446,16.955,104,10.708377634497124,111.5556820693337,0.0,0.5353816814210849
SP_810930_3197620,-81.093,319.762,6.732,41,10.734410990267138,111.35817726154774,0.0,0.5354609808003225
SP_876960_1043870,-87.696,104.387,7.351,42,11.305984277153426,105.85665234475898,0.0,0.5361735090249425
SP_847880_3354420,-84.788,335.442,6.844,41,10.85280781018451,110.89288554455831,0.0,0.5362037728154684
SP_809330_3447120,-80.933,344.712,6.091,39,11.105439910688569,109.61028064033447,0.0,0.5375329418635073
SP_846070_3232410,-84.607,323.236,43.542,260,10.945478803599368,112.08362721291834,0.0,0.5381576798251546
SP_840340_2688620,-84.034,268.862,9.605,60,11.18016344350798,112.01369476307558,0.0,0.5403823985408185
SP_837670_3387710,-83.767,338.772,143.024,866,11.057169573449379,113.78505859282386,0.0,0.5407476666564073
SP_812340_0890490,-81.234,89.049,24.912,153,11.214278751007646,112.08159829687165,0.0,0.5407747088329823
SP_815900_2903180,-81.59,290.318,15.235,95,11.038241177925123,114.35024645631931,0.0,0.5410621358590458
SP_816970_3196200,-81.697,319.62,15.415,95,11.216597423927135,112.82360991685837,0.0,0.5414522597833078
SP_833060_0855030,-83.306,85.503,36.306,218,11.165306655559217,114.09850030656955,0.0,0.542077876465835
SP_822730_2243490,-82.273,224.347,15.422,96,11.207133434421488,113.74894147309571,0.0,0.5421768299211221
SP_840930_3138320,-84.093,313.832,9.623,58,11.388309788480754,112.07471775740724,0.0,0.5424641564540498
SP_850230_1826070,-85.023,182.607,371.657,2266,11.146045459823974,114.90385555305343,0.0,0.5426010949583965
SP_810100_0472230,-81.01,47.223,7.898,49,11.436970197451018,112.74453115361355,0.0,0.5435294699077383
SP_806510_0507610,-80.65,50.761,15.109,90,11.380990239030957,113.40543367991592,0.0,0.5435674449358506
SP_885400_1004650,-88.54,100.465,5.31,33,11.977673321649046,107.25064943269199,0.0,0.5439479879091794
SP_831370_3119250,-83.136,311.923,12.438,72,11.304422023865065,115.61772539428254,0.0,0.544774220784683
SP_842170_3497860,-84.217,349.786,5.987,36,11.601301548094959,112.48959664760781,0.0,0.5449054640225589
SP_823950_3576610,-82.393,357.661,61.238,369,11.304669328916058,116.43449737035778,0.0,0.545497580840569
SP_881610_3059360,-88.161,305.936,8.19,50,11.599780496063861,113.86011432904405,0.0,0.546100377482706
SP_804340_0358560,-80.434,35.856,6.235,35,11.511070088853593,115.17560557713131,0.0,0.5463972659484562
SP_813840_3355180,-81.384,335.518,5.225,30,11.437059864211019,116.77608460236603,0.0,0.5470889267704095
SP_831800_2218340,-83.18,221.834,5.976,34,11.675866066050437,115.31707722165733,0.0,0.5481276876792084
SP_846760_0470540,-84.676,47.054,5.526,37,11.6063231649184,116.23935112489849,0.0,0.548264231944648
SP_803930_0373630,-80.393,37.363,21.442,133,11.572681467622328,116.75042166137638,0.0,0.5483875863729006
SP_842430_3468180,-84.243,346.818,41.083,254,11.361229129525855,119.36754637750836,0.0,0.5486375745499087
SP_820070_0167090,-82.007,16.709,12.994,80,11.404067001386,119.36873323751979,0.0,0.5490559759400455
SP_878090_3251650,-87.809,325.161,23.281,142,11.746468863362155,118.18933624084438,0.0,0.5513508389034768
SP_839400_0748820,-83.94,74.882,5.062,29,12.314936922643724,112.4062617211062,0.0,0.5517845950087454
SP_812340_1138520,-81.234,113.852,8.765,52,11.799224019673733,118.69733288419168,0.0,0.5523132131078043
SP_812090_0460390,-81.209,46.036,33.419,201,11.858003612621419,118.47117920680375,0.0,0.5526862592711363
SP_840800_1772640,-84.08,177.264,9.0,53,11.979671982318845,117.3689752811696,0.0,0.552898733290553
SP_846850_3536460,-84.685,353.645,17.356,105,11.670919613933494,121.37840327056834,0.0,0.5534297250277856
SP_845770_0017070,-84.577,1.709,103.846,630,11.624882166246318,122.16298766548543,0.0,0.5536737381833822
