Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.360830,79.829227,111854.735014,25.708940
-80.359408,79.708582,112158.234030,26.003100
-80.357950,79.588316,112461.923776,26.295303
-80.356592,79.480346,112766.188327,26.549001
-80.355263,79.377684,113070.450372,26.785748
-80.366450,80.290204,110640.200213,24.590131
-80.365336,80.185194,110944.257375,24.839438
-80.364214,80.082698,111248.415964,25.080238
-80.362787,79.952968,111551.321835,25.403861
-80.361376,79.829223,111854.728138,25.708276
-80.359953,79.708419,112158.240175,26.002900
-80.358495,79.588193,112461.956447,26.294952
-80.357136,79.480181,112766.199405,26.548767
-80.355801,79.376956,113070.421360,26.787226
-80.366983,80.288757,110640.156336,24.593973
-80.365868,80.183741,110944.218194,24.843276
-80.364758,80.082413,111248.424609,25.080474
-80.363334,79.952974,111551.296299,25.403194
-80.361922,79.829232,111854.679685,25.707581
-80.360497,79.708241,112158.235957,26.002745
-80.359040,79.588139,112461.978431,26.294393
-80.357681,79.480021,112766.214670,26.548514
-80.356341,79.376405,113070.412406,26.788159
-80.367516,80.287352,110640.113855,24.597686
-80.366401,80.182365,110944.183364,24.846876
-80.365301,80.082140,111248.435455,25.080670
-80.363880,79.952967,111551.256285,25.402567
-80.362467,79.829180,111854.911666,25.707006
-80.361043,79.708260,112158.253990,26.001982
-80.359589,79.588377,112461.973194,26.292945
-80.358222,79.479571,112766.206337,26.549155
-80.356881,79.375866,113070.401342,26.789055
-80.368049,80.285951,110640.071768,24.601384
-80.366935,80.181066,110944.149750,24.850240
-80.365844,80.081866,111248.445481,25.080870
-80.364426,79.952976,111551.231012,25.401889
-80.363013,79.829096,111854.850134,25.706599
-80.361593,79.708603,112158.253210,26.000235
-80.360140,79.588761,112461.924472,26.291064
-80.358762,79.479047,112766.199869,26.550022
-80.357421,79.375335,113070.387714,26.789927
-80.368582,80.284588,110640.030647,24.604966
-80.367470,80.179981,110944.113600,24.852953
-80.366386,80.081463,111248.444366,25.081467
-80.364972,79.952969,111551.232025,25.401252
-80.363558,79.829029,111854.776373,25.706145
-80.362144,79.709032,112158.293497,25.998215
-80.360689,79.589033,112461.906151,26.289518
-80.359305,79.478708,112766.192025,26.550323
-80.357961,79.374796,113070.375120,26.790822
-80.369116,80.283293,110639.993467,24.608338
-80.368006,80.178857,110944.059597,24.855787
-80.366928,80.081024,111248.440284,25.082178
-80.365518,79.952956,111551.241440,25.400633
-80.364102,79.828803,111854.913888,25.706123
-80.362695,79.709486,112158.350655,25.996111
-80.361237,79.589211,112462.165152,26.288189
-80.359848,79.478403,112766.186431,26.550518
-80.358501,79.374255,113070.364413,26.791725
-80.369651,80.282064,110639.957471,24.611508
-80.368542,80.177791,110944.025454,24.858436
-80.367469,80.080519,111248.434092,25.083088
-80.366064,79.952929,111551.261331,25.400055
-80.364648,79.828792,111854.869888,25.705488
-80.363245,79.709838,112158.379924,25.994330
-80.361785,79.589355,112462.153880,26.287033
-80.360392,79.478224,112766.186052,26.550328
-80.359041,79.373698,113070.353363,26.792674
-80.370188,80.281083,110639.933874,24.613914
-80.369079,80.176846,110944.002993,24.860715
-80.368010,80.079963,111248.425595,25.084153
-80.366611,79.953092,111551.347030,25.398876
-80.365196,79.828970,111854.850148,25.704273
-80.363795,79.710151,112158.410486,25.992665
-80.362333,79.589501,112462.129085,26.285873
-80.360936,79.478042,112766.194824,26.550145
-80.359581,79.373128,113070.347397,26.793664
-80.370725,80.280190,110639.911449,24.616052
-80.369616,80.175968,110943.984475,24.862785
-80.368548,80.079193,111248.406302,25.085876
-80.367159,79.953257,111551.414953,25.397700
-80.365744,79.829131,111854.801406,25.703114
-80.364344,79.710412,112158.428479,25.991166
-80.362880,79.589597,112462.112303,26.284863
-80.361480,79.477825,112766.229159,26.550062
-80.360120,79.372512,113070.366860,26.794786
-80.371264,80.279433,110639.893325,24.617774
-80.370151,80.174851,110943.956658,24.865592
-80.369086,80.078393,111248.386180,25.087692
-80.367708,79.953577,111551.490989,25.396046
-80.366290,79.829195,111854.947588,25.702204
-80.364893,79.710677,112158.457938,25.989649
-80.363428,79.589733,112462.073230,26.283740
-80.362020,79.477262,112766.205852,26.551050
-80.360660,79.371991,113070.384307,26.795618
-80.371803,80.278691,110639.875675,24.619445
-80.370687,80.173707,110943.930057,24.868478
-80.369624,80.077549,111248.364488,25.089641
-80.368257,79.953864,111551.561546,25.394493
-80.366839,79.829411,111854.915083,25.700872
-80.365443,79.710999,112158.514630,25.987952
-80.363976,79.589915,112462.059768,26.282467
-80.362557,79.476444,112766.156631,26.552825
-80.361202,79.371582,113070.388711,26.796112
-80.372343,80.277976,110639.858838,24.621037
-80.371221,80.172537,110943.901882,24.871445
-80.370162,80.076688,111248.342278,25.091645
-80.368806,79.954088,111551.613062,25.393138
-80.367387,79.829667,111854.897497,25.699417
-80.365992,79.711318,112158.554033,25.986267
-80.364524,79.590024,112462.041909,26.281420
-80.363097,79.475879,112766.164135,26.553813
-80.361743,79.371113,113070.383571,26.796791
-80.372881,80.277125,110639.835010,24.623045
-80.371757,80.171423,110943.873937,24.874239
-80.370699,80.075816,111248.319851,25.093681
-80.369353,79.954248,111551.649197,25.391985
-80.367938,79.830088,111854.920075,25.697445
-80.366543,79.711703,112158.601024,25.984381
-80.365071,79.590081,112462.028263,26.280528
-80.363637,79.475378,112766.175454,26.554603
-80.362283,79.370613,113070.376248,26.797564
-80.373417,80.276108,110639.806978,24.625561
-80.372293,80.170380,110943.843289,24.876818
-80.371237,80.074946,111248.297729,25.095708
-80.369900,79.954297,111551.670471,25.391170
-80.368489,79.830536,111854.946426,25.695389
-80.367093,79.712085,112158.645482,25.982502
-80.365617,79.590088,112462.083819,26.279773
-80.364179,79.474948,112766.151493,26.555187
-80.362824,79.370113,113070.368561,26.798337
-80.373953,80.274978,110639.773819,24.628426
-80.372828,80.169286,110943.812298,24.879550
-80.371774,80.074081,111248.275476,25.097720
-80.370446,79.954330,111551.696620,25.390407
-80.369040,79.831004,111854.979818,25.693274
-80.367644,79.712493,112158.686863,25.980546
-80.366163,79.590025,112462.175961,26.279223
-80.364721,79.474583,112766.143028,26.555565
-80.363364,79.369614,113070.360254,26.799110
-80.374488,80.273783,110639.737823,24.631488
-80.373364,80.168163,110943.782167,24.882374
-80.372312,80.073272,111248.257110,25.099562
-80.370992,79.954333,111551.725289,25.389735
-80.369591,79.831460,111855.021636,25.691192
-80.368194,79.712912,112158.738031,25.978555
-80.366707,79.589831,112462.238173,26.279083
-80.365265,79.474433,112766.185446,26.555275
-80.363905,79.369108,113070.356128,26.799901
-80.375017,80.272008,110639.677428,24.636332
-80.373898,80.167000,110943.752863,24.885316
-80.372850,80.072455,111248.238339,25.101427
-80.371538,79.954310,111551.750973,25.389142
-80.370141,79.831881,111855.074839,25.689213
-80.368745,79.713324,112158.807018,25.976580
-80.367252,79.589688,112462.031262,26.278851
-80.365810,79.474295,112766.214302,26.554950
-80.364445,79.368607,113070.352667,26.800674
-80.375546,80.270167,110639.618148,24.641377
-80.374433,80.165835,110943.721827,24.888265
-80.373388,80.071609,111248.217123,25.103381
-80.372084,79.954273,111551.784162,25.388589
-80.370691,79.832247,111855.121655,25.687405
-80.369295,79.713636,112158.824483,25.974925
-80.367795,79.589370,112462.083283,26.279093
-80.366356,79.474222,112766.225584,26.554431
-80.364986,79.368125,113070.347532,26.801393
-80.376074,80.268229,110639.555754,24.646719
-80.374968,80.164653,110943.688472,24.891269
-80.373926,80.070798,111248.197202,25.105228
-80.372627,79.953987,111551.789361,25.388806
-80.371242,79.832623,111854.963913,25.685617
-80.369844,79.713945,112158.820391,25.973283
-80.368337,79.589007,112462.112933,26.279476
-80.366901,79.474156,112766.234995,26.553890
-80.365526,79.367630,113070.338784,26.802150
-80.376602,80.266282,110639.493405,24.652088
-80.375503,80.163474,110943.655068,24.894261
