PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction,anomaly_score,is_anomaly_iforest_label,anomaly_rank
SP_889970_3170870,-88.997,317.091,44.323,54,0,0.166666667,-0.080743491,FALSE,137
SP_832830_2218380,-83.282,221.839,11.452,36,0.305555556,0.888888889,-0.080978806,FALSE,138
SP_823430_2318760,-82.343,231.876,5.126,29,0.137931034,0.862068966,-0.082091777,FALSE,139
SP_802920_0385530,-80.292,38.553,33.451,53,0,0.735849057,-0.082395949,FALSE,140
SP_800780_0456630,-80.077,45.661,37.537,101,0,0.128712871,-0.082509018,FALSE,141
SP_842450_2744930,-84.245,274.493,7.898,50,0.02,0.12,-0.08279568,FALSE,142
SP_846940_1753570,-84.694,175.355,30.611,183,0.142076503,0.666666667,-0.083257619,FALSE,143
SP_865300_2381460,-86.53,238.146,10.361,13,0,0,-0.083365771,FALSE,144
SP_883170_0809830,-88.317,80.983,28.66,154,0.207792208,0.558441558,-0.083732656,FALSE,145
SP_811170_1103320,-81.117,110.332,15.679,85,0.364705882,0.776470588,-0.083988354,FALSE,146
SP_809100_3154980,-80.91,315.498,5.958,32,0.15625,0.90625,-0.084558275,FALSE,147
SP_818620_3499460,-81.862,349.946,27.331,12,0.166666667,0.5,-0.084800493,FALSE,148
SP_842140_3232340,-84.214,323.223,14.342,77,0,0.012987013,-0.085064989,FALSE,149
SP_809330_3447120,-80.933,344.712,6.091,15,0,0,-0.085331924,FALSE,150
SP_846850_3536460,-84.685,353.645,17.356,62,0.14516129,0.822580645,-0.085443467,FALSE,151
SP_846090_2604870,-84.609,260.487,5.612,15,0.2,0.466666667,-0.085732009,FALSE,152
SP_838740_2774750,-83.874,277.475,9.364,57,0.368421053,0.824561404,-0.08620562,FALSE,153
SP_818450_3211710,-81.845,321.171,22.756,132,0.007575758,0.189393939,-0.087131495,FALSE,154
SP_812070_0308360,-81.207,30.836,7.445,18,0,0,-0.087162378,FALSE,155
SP_873890_2512470,-87.389,251.247,46.933,224,0.098214286,0.53125,-0.087550031,FALSE,156
SP_857850_2826560,-85.785,282.656,8.701,4,0,0.75,-0.08765372,FALSE,157
SP_819220_1874810,-81.922,187.481,6.477,31,0.225806452,0.903225806,-0.0884692,FALSE,158
SP_814140_2963110,-81.414,296.311,43.111,175,0.017142857,0.428571429,-0.088743419,FALSE,159
SP_869290_1543540,-86.929,154.354,8.928,26,0.038461538,0.846153846,-0.089252472,FALSE,160
SP_811330_2793740,-81.133,279.374,7.805,46,0.391304348,0.804347826,-0.089567097,FALSE,161
SP_814010_0196980,-81.401,19.698,14.03,66,0.015151515,0.787878788,-0.089667214,FALSE,162
SP_842430_3468180,-84.243,346.818,41.083,239,0,0.527196653,-0.090400695,FALSE,163
SP_816240_3094250,-81.624,309.421,10.415,46,0,0,-0.090429533,FALSE,164
SP_869430_0435040,-86.943,43.504,5.443,6,0,0.166666667,-0.090518641,FALSE,165
SP_834150_2749360,-83.412,274.909,39.431,235,0.034042553,0.489361702,-0.091410321,FALSE,166
SP_820100_2831290,-82.01,283.129,8.016,45,0.4,0.8,-0.09164882,FALSE,167
SP_811730_1243120,-81.173,124.312,9.061,54,0.092592593,0.333333333,-0.092021883,FALSE,168
SP_802230_0561110,-80.223,56.111,16.119,7,0,0.142857143,-0.092040632,FALSE,169
SP_812340_1138520,-81.234,113.852,8.765,49,0.020408163,0.183673469,-0.092060783,FALSE,170
SP_809650_0886110,-80.965,88.611,40.45,219,0.050228311,0.515981735,-0.092139413,FALSE,171
SP_835620_2995530,-83.562,299.553,10.138,62,0,0.806451613,-0.093198437,FALSE,172
SP_838270_2552930,-83.827,255.293,16.553,98,0.255102041,0.653061224,-0.093321497,FALSE,173
SP_858910_0680440,-85.89,68.043,17.276,93,0.311827957,0.741935484,-0.093355111,FALSE,174
SP_843560_1239210,-84.356,123.921,35.881,181,0.027624309,0.591160221,-0.093476695,FALSE,175
SP_892150_0734730,-89.215,73.473,6.71,16,0.0625,0.3125,-0.093742193,FALSE,176
SP_864540_2463730,-86.454,246.373,6.156,22,0.318181818,0.681818182,-0.094419283,FALSE,177
SP_872560_3120600,-87.256,312.056,20.495,78,0.038461538,0.269230769,-0.094698849,FALSE,178
SP_845880_0533560,-84.588,53.356,8.431,3,0,0.666666667,-0.094799845,FALSE,179
SP_871270_0406840,-87.127,40.682,30.654,181,0.110497238,0.524861878,-0.095188598,FALSE,180
SP_818580_2863520,-81.858,286.352,11.045,65,0.307692308,0.646153846,-0.095826073,FALSE,181
SP_802980_2902000,-80.298,290.2,5.069,30,0.3,0.666666667,-0.095965892,FALSE,182
SP_810340_0483070,-81.034,48.306,11.729,56,0,0.017857143,-0.096354062,FALSE,183
SP_885400_1004650,-88.54,100.465,5.31,19,0.263157895,0.631578947,-0.09644652,FALSE,184
SP_812260_3436580,-81.226,343.658,34.433,88,0.102272727,0.636363636,-0.097250006,FALSE,185
SP_816970_3196200,-81.697,319.62,15.415,52,0,0.038461538,-0.097329062,FALSE,186
SP_848170_2531360,-84.817,253.136,8.942,41,0.365853659,0.731707317,-0.097645644,FALSE,187
SP_827640_0162250,-82.764,16.225,6.26,37,0,0.027027027,-0.097784269,FALSE,188
SP_811620_1020450,-81.162,102.045,24.091,139,0.09352518,0.64028777,-0.097839596,FALSE,189
SP_818190_0694460,-81.819,69.446,16.955,53,0.20754717,0.528301887,-0.098111977,FALSE,190
SP_862290_2910480,-86.229,291.048,5.35,33,0.272727273,0.787878788,-0.098332862,FALSE,191
SP_845640_2574190,-84.565,257.425,13.176,78,0.128205128,0.435897436,-0.098430539,FALSE,192
SP_834120_3366970,-83.412,336.697,7.481,26,0,0.038461538,-0.098708167,FALSE,193
SP_873970_2748620,-87.397,274.862,5.774,32,0.0625,0.3125,-0.098911155,FALSE,194
SP_814860_0147990,-81.486,14.799,37.039,192,0.078125,0.526041667,-0.098935226,FALSE,195
SP_822920_2211100,-82.291,221.109,16.646,79,0,0.050632911,-0.099533865,FALSE,196
SP_809420_0826190,-80.942,82.619,17.107,76,0,0.065789474,-0.099904015,FALSE,197
SP_878090_3251650,-87.809,325.161,23.281,132,0.060606061,0.439393939,-0.100222135,FALSE,198
SP_820930_2525100,-82.093,252.51,12.96,75,0.28,0.68,-0.100373847,FALSE,199
SP_824630_2701340,-82.463,270.134,11.143,76,0.302631579,0.763157895,-0.100926611,FALSE,200
SP_806710_1408660,-80.671,140.867,18.803,109,0.009174312,0.220183486,-0.101979719,FALSE,201
SP_815900_2903180,-81.59,290.318,15.235,88,0.011363636,0.272727273,-0.10239798,FALSE,202
SP_836140_3528490,-83.613,352.852,15.3,41,0,0.048780488,-0.103833654,FALSE,203
