PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_871460_0840750,-87.146,84.075,663.959,2723,0.1483657730444363,0.7032684539111275
SP_846850_3536460,-84.685,353.645,17.356,62,0.14516129032258066,0.8225806451612904
SP_835240_0910150,-83.524,91.015,439.222,2567,0.14452668484612388,0.6174522789248149
SP_846940_1753570,-84.694,175.355,30.611,183,0.14207650273224043,0.6666666666666666
SP_823430_2318760,-82.343,231.876,5.126,29,0.13793103448275862,0.8620689655172413
SP_814050_0021200,-81.405,2.12,115.099,354,0.13559322033898305,0.4180790960451977
SP_829960_3218060,-82.996,321.806,5.234,30,0.13333333333333333,0.6333333333333333
SP_858680_3094240,-85.868,309.424,8.057,46,0.13043478260869565,0.5652173913043478
SP_806240_0172810,-80.624,17.281,79.92,269,0.13011152416356878,0.5130111524163569
SP_836140_2415060,-83.614,241.506,6.714,39,0.1282051282051282,0.6666666666666666
SP_845640_2574190,-84.565,257.425,13.176,78,0.1282051282051282,0.4358974358974359
SP_867870_0536640,-86.787,53.664,11.444,63,0.12698412698412698,0.5555555555555556
SP_804590_3088780,-80.454,308.857,13.928,79,0.12658227848101267,0.5822784810126582
SP_818960_3003250,-81.896,300.325,6.109,32,0.125,0.75
SP_818940_2907730,-81.894,290.773,8.821,51,0.11764705882352941,0.5882352941176471
SP_889730_0648850,-88.973,64.885,5.814,34,0.11764705882352941,0.6470588235294118
SP_822410_0595740,-82.241,59.574,12.427,70,0.11428571428571428,0.5142857142857142
SP_871270_0406840,-87.127,40.682,30.654,181,0.11049723756906077,0.5248618784530387
SP_839920_3091290,-83.992,309.129,74.531,436,0.11009174311926606,0.4243119266055046
SP_827550_0675820,-82.755,67.582,9.335,57,0.10526315789473684,0.9649122807017544
SP_830590_0483090,-83.059,48.309,6.106,38,0.10526315789473684,0.47368421052631576
SP_812260_3436580,-81.226,343.658,34.433,88,0.10227272727272728,0.6363636363636364
SP_852110_2384420,-85.211,238.442,11.023,59,0.1016949152542373,0.4915254237288136
SP_840570_2974330,-84.057,297.433,8.37,50,0.1,0.52
SP_873890_2512470,-87.389,251.247,46.933,224,0.09821428571428571,0.53125
SP_848780_1995820,-84.878,199.582,6.577,41,0.0975609756097561,0.3902439024390244
SP_811620_1020450,-81.162,102.045,24.091,139,0.09352517985611511,0.6402877697841727
SP_811730_1243120,-81.173,124.312,9.061,54,0.09259259259259259,0.3333333333333333
SP_875750_3329770,-87.575,332.977,11.268,65,0.09230769230769231,0.6461538461538462
SP_816480_0652210,-81.648,65.222,79.788,466,0.09227467811158799,0.4721030042918455
SP_863550_0488280,-86.355,48.829,132.631,242,0.09090909090909091,0.2975206611570248
SP_823970_0589970,-82.397,58.997,7.373,44,0.09090909090909091,0.4090909090909091
SP_810980_1423640,-81.098,142.364,8.053,45,0.08888888888888889,0.6222222222222222
SP_836400_2007930,-83.64,200.793,7.592,45,0.08888888888888889,0.5111111111111111
SP_876960_1043870,-87.696,104.387,7.351,45,0.08888888888888889,0.37777777777777777
SP_831760_2041370,-83.176,204.137,5.137,23,0.08695652173913043,0.6521739130434783
SP_835040_2720960,-83.504,272.097,14.886,81,0.08641975308641975,0.654320987654321
SP_827270_2065240,-82.727,206.524,8.737,47,0.0851063829787234,0.574468085106383
SP_814440_3172250,-81.444,317.226,98.377,546,0.08424908424908426,0.32967032967032966
SP_841820_2710340,-84.182,271.034,62.251,368,0.08423913043478261,0.5271739130434783
SP_847550_1500770,-84.754,150.083,73.426,12,0.08333333333333333,0.6666666666666666
SP_826030_1728380,-82.603,172.838,7.909,48,0.08333333333333333,0.625
SP_869250_0482770,-86.925,48.276,10.919,37,0.08108108108108109,0.7297297297297297
